ID,PAISAJE,CRONO,EDAD,PARCELA,ESPECIE,AF,SLA,LDMC,Lth,ABUN,AB
1,Lomerio,0 - 10,7,DL 11,Alchornea discolor Poepp.,14416.443,14.56988907,416.6324261,0.1694,1,
2,Lomerio,0 - 10,7,DL 11,Attalea maripa (Aubl.) Mart.,542762.0773,4.296858473,626.302016,0.322833333,4,
3,Lomerio,0 - 10,7,DL 11,Byrsonima krukoffii W.R.Anderson,17513.2216,10.96806184,399.9854865,0.2824,1,
4,Lomerio,0 - 10,7,DL 11,Cupania scrobiculata Rich.,20026.47883,8.892048691,411.0548489,0.151,5,
5,Lomerio,0 - 10,7,DL 11,Hieronyma alchorneoides Allemão,19615.1156,14.51793323,252.1918989,0.2476,1,
6,Lomerio,0 - 10,7,DL 11,Miconia albicans (Sw.) Steud.,8210.8476,9.375390439,451.8979215,0.2232,3,
7,Lomerio,0 - 10,7,DL 11,Miconia elata (Sw.) DC.,9330.8156,8.09906942,407.5872071,0.4882,2,
8,Lomerio,0 - 10,7,DL 11,Trattinnickia boliviana (Swart) Daly,38903.374,10.19545066,377.468808,0.228333333,7,
9,Lomerio,0 - 10,10,DL 6,Ficus insipida Willd.,22298.173,8.910459459,334.2828478,0.3464,1,
10,Lomerio,0 - 10,10,DL 6,Henriettella fascicularis (Sw.) C. Wright,5467.7069,18.65962401,246.4059326,0.3017,7,
11,Lomerio,0 - 10,10,DL 6,Hieronyma alchorneoides Allemão,15400.1664,11.59104787,300.8009412,0.2844,1,
12,Lomerio,0 - 10,10,DL 6,Piptocoma discolor (Kunth) Pruski,6076.2821,20.03879773,294.4741062,0.2171,46,
13,Lomerio,20-Oct,12,DL 10,Bellucia pentamera,30244.575,6.004779908,472.7166521,0.3216,1,
14,Lomerio,20-Oct,12,DL 10,Henriettella fascicularis (Sw.) C. Wright,9995.5512,25.70433239,206.2426875,0.2126,2,
15,Lomerio,20-Oct,12,DL 10,Isertia laevis (Triana) Boom,24858.7888,13.33072005,335.6996218,0.2544,1,
16,Lomerio,20-Oct,12,DL 10,Myrcia splendens (Sw.) DC.,5567.5564,5.618221733,574.129796,0.3004,1,
17,Lomerio,20-Oct,12,DL 10,Siparuna guianensis Aubl.,2929.0726,14.79995714,321.9100485,0.2328,2,
18,Lomerio,20-Oct,12,DL 10,Xylopia amazonica R.E.Fr.,1936.2048,11.62410492,459.2017293,0.2099,3,
19,Lomerio,20-Oct,18,DL 12,Astrocaryum chambira Burret,322355.5473,5.142535062,504.9617939,0.398333333,1,
20,Lomerio,20-Oct,18,DL 12,Astrocaryum cuatrecasasianum Dugand,375209.375,4.88258168,517.339944,0.149666667,1,
21,Lomerio,20-Oct,18,DL 12,Attalea maripa (Aubl.) Mart.,490437.305,5.759886844,568.2394591,0.426,2,
22,Lomerio,20-Oct,18,DL 12,Bellucia grossularioides (L.) Triana,34932.5052,10.51436459,394.685008,0.2132,3,
23,Lomerio,20-Oct,18,DL 12,Brosimum acutifolium Huber,41065.942,15.42358891,367.9469468,0.216333333,1,
24,Lomerio,20-Oct,18,DL 12,Byrsonima krukoffii W.R.Anderson,23734.057,12.41162049,361.184256,0.3012,4,
25,Lomerio,20-Oct,18,DL 12,Casearia arborea (Rich.) Urb.,2722.5784,9.128520385,379.960085,0.31,3,
26,Lomerio,20-Oct,18,DL 12,Cecropia ficifolia Warb. ex Snethl,170536.5302,23.72698352,270.9233854,0.2378,1,
27,Lomerio,20-Oct,18,DL 12,Cupania scrobiculata Rich.,30235.9,18.81134122,357.1353671,0.133333333,5,
28,Lomerio,20-Oct,18,DL 12,Eugenia coffeifolia DC.,4800.526,14.03705511,447.9835165,0.205,2,
29,Lomerio,20-Oct,18,DL 12,Henriettella fascicularis (Sw.) C. Wright,9089.832,25.27173446,229.5736453,0.2326,32,
30,Lomerio,20-Oct,18,DL 12,Hieronyma alchorneoides Allemão,40973.5922,23.3146009,186.8859029,0.2422,1,
31,Lomerio,20-Oct,18,DL 12,Inga leiocalycina Benth.,30596.93333,18.55959695,397.9372674,0.115666667,1,
32,Lomerio,20-Oct,18,DL 12,Inga thibaudiana DC.,26053.37467,9.419495148,449.8425931,0.341,4,
33,Lomerio,20-Oct,18,DL 12,Lacistema nena J.F. Macbr.,15098.01467,16.21132896,341.2302189,0.194333333,1,
34,Lomerio,20-Oct,18,DL 12,Laetia procera (Poepp.) Eichler,7476.195,13.09653256,396.1598428,0.1902,1,
35,Lomerio,20-Oct,18,DL 12,Miconia poeppigii Triana,9092.1205,11.99781731,441.0477626,0.2142,2,
36,Lomerio,20-Oct,18,DL 12,Perebea guianensis Aubl.,52810.2602,21.94998294,297.8399171,0.1722,2,
37,Lomerio,20-Oct,18,DL 12,Tapirira obtusa (Benth.) J.D.Mitch.,47758.03233,12.26306326,544.4336388,0.147333333,1,
38,Lomerio,20 - 40,30,DL 13,Alchornea glandulosa Poepp.,24013.04333,19.08441593,403.5916064,0.156666667,1,
39,Lomerio,20 - 40,30,DL 13,Alchornea triplinervia (Spreng.) Müll.Arg.,4304.289,15.67108815,422.4715554,0.1812,2,
40,Lomerio,20 - 40,30,DL 13,Astrocaryum chambira Burret,313039.6897,5.253904026,506.8052465,0.360666667,11,
